"sku","post_title","post_name","post_excerpt","post_content","post_status","menu_order","visibility","stock_status","images"
"KR8171","Khóa Mã Số Thẻ Cảm Ứng MH: KR8171","khoa-ma-so-the-cam-ung-kr8171","- Ưu điểm: Dễ dàng thay thế khóa tay nắm tròn
- Màu sắc: Bạc
- Cách mở khóa: 99 thẻ Mifare, 9 mã số, có chức năng chống dò mã và chìa khóa cơ trong trường hợp khẩn cấp
- Cấu tạo: Hợp kim
- Pin: Sử dụng 4 viên pin AAA, thời lượng sử dụng pin từ 6 tháng đến 1 năm tuỳ vào tần suất sử dụng
- Thích hợp: Văn phòng, căn hộ
- Đố cửa: 32-50 mm (dày) x 95 mm (rộng)
- Kích thước: 170 mm (dài) x 65 mm (rộng) x 22mm (dày)
- Thiết kế và công nghệ: AUSTRALIA","- Ưu điểm: Dễ dàng thay thế khóa tay nắm tròn
- Màu sắc: Bạc
- Cách mở khóa: 99 thẻ Mifare, 9 mã số, có chức năng chống dò mã và chìa khóa cơ trong trường hợp khẩn cấp
- Cấu tạo: Hợp kim
- Pin: Sử dụng 4 viên pin AAA, thời lượng sử dụng pin từ 6 tháng đến 1 năm tuỳ vào tần suất sử dụng
- Thích hợp: Văn phòng, căn hộ
- Đố cửa: 32-50 mm (dày) x 95 mm (rộng)
- Kích thước: 170 mm (dài) x 65 mm (rộng) x 22mm (dày)
- Thiết kế và công nghệ: AUSTRALIA","publish","0","visible","instock","http://xsmart.local/wp-content/uploads/2019/03/KR8171-Khóa-mã-số.png"
"KR8159","Khóa điện tử MH: KR8159","khoa-dien-tu-kr8159","- Chức năng: khóa đôi: Khóa bằng 3 chốt. Nâng tay nắm để bật chốt an toàn khi khóa cửa
- Màu sắc: Vàng hoặc Bạc
- Cách mở khóa: 50 thẻ RFID, 20 mã số, có chức năng chống dò mã và chìa khóa cơ trong trường hợp khẩn cấp
- Cấu tạo: Hợp kim
- Pin: Sử dụng 8 viên pin AAA, thời lượng sử dụng pin từ 06 tháng đến 01 năm tùy vào tần suất sử dụng, có chức năng đèn báo pin yếu
- Thích hợp: Phù hợp cho căn hộ cao cấp, nhà phố, biệt thự
- Đố cửa: 40 mm (dày) x 90 mm (rộng)
- Kích thước: 256 mm (dài) x 60 mm (rộng) x 16mm (dày)
- Thiết kế và công nghệ: AUSTRALIA","- Chức năng: khóa đôi: Khóa bằng 3 chốt. Nâng tay nắm để bật chốt an toàn khi khóa cửa
- Màu sắc: Vàng hoặc Bạc
- Cách mở khóa: 50 thẻ RFID, 20 mã số, có chức năng chống dò mã và chìa khóa cơ trong trường hợp khẩn cấp
- Cấu tạo: Hợp kim
- Pin: Sử dụng 8 viên pin AAA, thời lượng sử dụng pin từ 06 tháng đến 01 năm tùy vào tần suất sử dụng, có chức năng đèn báo pin yếu
- Thích hợp: Phù hợp cho căn hộ cao cấp, nhà phố, biệt thự
- Đố cửa: 40 mm (dày) x 90 mm (rộng)
- Kích thước: 256 mm (dài) x 60 mm (rộng) x 16mm (dày)
- Thiết kế và công nghệ: AUSTRALIA","publish","0","visible","instock","http://xsmart.local/wp-content/uploads/2019/03/KR8159-Khóa-điện-tử.png"
"KR8161","Khóa mã số thẻ cảm ứng MH: KR8161","khoa-ma-so-the-cam-ung-kr8161","-Màu sắc: Bạc
-Cách mở khóa: 118 thẻ cảm ứng, 09 mã số, có chức năng chống dò mã và chìa khóa cơ trong trường hợp khẩn cấp.
-Cấu tạo: Hợp kim
-Pin: Sử dụng pin AA, tuổi thọ pin từ 6 tháng đến 12 tháng tùy theo tần suất sử dụng, có chức năng đèn báo hiệu pin yếu
-Thích hợp: Căn hộ cao cấp, nhà phố, biệt thự
-Đố cửa: 35mm (dày) x 90mm
-Kích thước: 280mm (dài) x 74mm (rộng) x 25mm (dày)
-Thiết kế và công nghệ: AUSTRALIA","-Màu sắc: Bạc
-Cách mở khóa: 118 thẻ cảm ứng, 09 mã số, có chức năng chống dò mã và chìa khóa cơ trong trường hợp khẩn cấp.
-Cấu tạo: Hợp kim
-Pin: Sử dụng pin AA, tuổi thọ pin từ 6 tháng đến 12 tháng tùy theo tần suất sử dụng, có chức năng đèn báo hiệu pin yếu
-Thích hợp: Căn hộ cao cấp, nhà phố, biệt thự
-Đố cửa: 35mm (dày) x 90mm
-Kích thước: 280mm (dài) x 74mm (rộng) x 25mm (dày)
-Thiết kế và công nghệ: AUSTRALIA","publish","0","visible","instock","http://xsmart.local/wp-content/uploads/2019/03/KR8161-Khóa-mã-số.png"
"KR3028W","Khóa mã số thẻ cảm ứng MH: KR3028W","khoa-ma-so-the-cam-ung-kr3028w","-Màu sắc: Bạc
-Cách mở khóa: 200 thẻ RFID, 08 mã số, 08 remote
-Cấu tạo: Hợp kim kẽm
-Pin: Sử dụng pin AA, tuổi thọ pin từ 6 tháng đến 12 tháng tùy theo tần suất sử dụng, có chức năng đèn báo pin yếu, kết nối pin dự phòng
-Thích hợp: Phù hợp cho văn phòng, shop
-Đố cửa: 38mm-55mm (dày) x 100mm (rộng)
-Kích thước: 255mm (dài) x 80mm (rộng) x 25mm (dày)
-Thiết kế và công nghệ: AUSTRALIA
-Bảo hành: 24 tháng","-Màu sắc: Bạc
-Cách mở khóa: 200 thẻ RFID, 08 mã số, 08 remote
-Cấu tạo: Hợp kim kẽm
-Pin: Sử dụng pin AA, tuổi thọ pin từ 6 tháng đến 12 tháng tùy theo tần suất sử dụng, có chức năng đèn báo pin yếu, kết nối pin dự phòng
-Thích hợp: Phù hợp cho văn phòng, shop
-Đố cửa: 38mm-55mm (dày) x 100mm (rộng)
-Kích thước: 255mm (dài) x 80mm (rộng) x 25mm (dày)
-Thiết kế và công nghệ: AUSTRALIA
-Bảo hành: 24 tháng","publish","0","visible","instock","http://xsmart.local/wp-content/uploads/2019/03/KR3028.png"
"KR8010","Khóa mã số thẻ cảm ứng MH: KR8010","khoa-ma-so-the-cam-ung-kr8010","-Màu sắc: Vàng, Titan
-Cách mở khóa: 118 thẻ, 9 mã số, có chức năng chống dò mã và chìa khóa cơ trong trường hợp khẩn cấp
-Cấu tạo: Hợp kim
-Pin: Sử dụng pin AAA, tuổi thọ pin từ 6 tháng đến 12 tháng tùy theo tần suất sử dụng, có chức năng đèn báo pin yếu
-Thích hợp: Phù hợp cho căn hộ cao cấp, nhà phố, biệt thự
-Đố cửa: 35mm (dày) x 90mm (rộng)
-Kích thước: 251mm (dài) x 56mm (rộng) x 10mm (dày)
-Thiết kế và công nghệ: AUSTRALIA
-Bảo hành: 24 tháng","-Màu sắc: Vàng, Titan
-Cách mở khóa: 118 thẻ, 9 mã số, có chức năng chống dò mã và chìa khóa cơ trong trường hợp khẩn cấp
-Cấu tạo: Hợp kim
-Pin: Sử dụng pin AAA, tuổi thọ pin từ 6 tháng đến 12 tháng tùy theo tần suất sử dụng, có chức năng đèn báo pin yếu
-Thích hợp: Phù hợp cho căn hộ cao cấp, nhà phố, biệt thự
-Đố cửa: 35mm (dày) x 90mm (rộng)
-Kích thước: 251mm (dài) x 56mm (rộng) x 10mm (dày)
-Thiết kế và công nghệ: AUSTRALIA
-Bảo hành: 24 tháng","publish","0","visible","instock","http://xsmart.local/wp-content/uploads/2019/03/KR8010.png"
"KR3653W","Khóa mã số thẻ cảm ứng MH: KR3653W","khoa-ma-so-the-cam-ung-kr3653w","-Màu sắc: Bạc
-Cách mở khóa: 80 thẻ, 8 mã số, 8 remote (20 met) và chìa khóa cơ trong trường hợp khẩn cấp
-Cấu tạo: Hợp kim
-Pin: Sử dụng pin AAA, tuổi thọ pin từ 6 tháng đến 12 tháng tùy theo tần suất sử dụng, có chức năng đèn báo pin yếu, kết nối pin dự phòng
-Thích hợp: Phù hợp cho văn phòng, căn hộ cao cấp
-Đố cửa: 30mm (dày) x 95mm (rộng)
-Kích thước: 160mm (dài) x 70mm (rộng) x 20mm (dày)
-Thiết kế và công nghệ: AUSTRALIA
-Bảo hành: 24 tháng","-Màu sắc: Bạc
-Cách mở khóa: 80 thẻ, 8 mã số, 8 remote (20 met) và chìa khóa cơ trong trường hợp khẩn cấp
-Cấu tạo: Hợp kim
-Pin: Sử dụng pin AAA, tuổi thọ pin từ 6 tháng đến 12 tháng tùy theo tần suất sử dụng, có chức năng đèn báo pin yếu, kết nối pin dự phòng
-Thích hợp: Phù hợp cho văn phòng, căn hộ cao cấp
-Đố cửa: 30mm (dày) x 95mm (rộng)
-Kích thước: 160mm (dài) x 70mm (rộng) x 20mm (dày)
-Thiết kế và công nghệ: AUSTRALIA
-Bảo hành: 24 tháng","publish","0","visible","instock","http://xsmart.local/wp-content/uploads/2019/03/KR3653.png"
"KR3274W","Khóa điện tử MH: KR3274W","khoa-dien-tu-kr3274w","-Màu sắc: Bạc
-Cách mở khóa: 198 thẻ, 8 mã số, 10 remote và chìa khóa cơ trong trường hợp khẩn cấp
-Cấu tạo: Hợp kim
-Pin: Sử dụng pin AA, tuổi thọ pin từ 6 tháng đến 12 tháng tùy theo tần suất sử dụng, có chức năng đèn báo hiệu pin yếu, kết nối pin dự phòng
-Thích hợp: Phù hợp cho biệt thự, phòng Giám Đốc, căn hộ cao cấp
-Đố cửa: 38mm (dày) x 100mm (rộng)
-Kích thước: 290mm (dài) x 72mm (rộng) x 20mm (dày)
-Thiết kế và công nghệ: AUSTRALIA
-Bảo hành: 24 tháng","-Màu sắc: Bạc
-Cách mở khóa: 198 thẻ, 8 mã số, 10 remote và chìa khóa cơ trong trường hợp khẩn cấp
-Cấu tạo: Hợp kim
-Pin: Sử dụng pin AA, tuổi thọ pin từ 6 tháng đến 12 tháng tùy theo tần suất sử dụng, có chức năng đèn báo hiệu pin yếu, kết nối pin dự phòng
-Thích hợp: Phù hợp cho biệt thự, phòng Giám Đốc, căn hộ cao cấp
-Đố cửa: 38mm (dày) x 100mm (rộng)
-Kích thước: 290mm (dài) x 72mm (rộng) x 20mm (dày)
-Thiết kế và công nghệ: AUSTRALIA
-Bảo hành: 24 tháng","publish","0","visible","instock","http://xsmart.local/wp-content/uploads/2019/03/KR3274.png"
"iSee IC102W","Chuông camera hồng ngoại MH: iSee IC102W","chuong-camera-hong-ngoai-isee-ic102w","Chức năng: Đàm thoại bằng hình ảnh khi có khách nhấn chuông
• Kết hợp với khóa điện tử
• Thiết bị kiểm soát để mở cửa từ xa
• Chủ động xem, lưu trữ hình ảnh, video khi cần
• Có chức năng báo khi phát hiện chuyển động
• Có led hồng ngoại hỗ trợ xem hình ảnh vào ban đêm
Lắp đặt: Có thể lắp ngoài trời hay trong nhà tùy thích
Màu sắc: Trắng bạc
Cách mở khóa:
• Kết hợp với khóa điện tử
• mở khóa thông qua ứng dụng trên smartphone
Kích thước: Nút nhấn camera (Bao gồm chân đế): Dài(158mm) x Rộng(81mm) x Sâu(62mm)
• Chuông báo: Dài(126mm) x Rộng(78mm) x Sâu(38mm)","Chức năng: Đàm thoại bằng hình ảnh khi có khách nhấn chuông
• Kết hợp với khóa điện tử
• Thiết bị kiểm soát để mở cửa từ xa
• Chủ động xem, lưu trữ hình ảnh, video khi cần
• Có chức năng báo khi phát hiện chuyển động
• Có led hồng ngoại hỗ trợ xem hình ảnh vào ban đêm
Lắp đặt: Có thể lắp ngoài trời hay trong nhà tùy thích
Màu sắc: Trắng bạc
Cách mở khóa:
• Kết hợp với khóa điện tử
• mở khóa thông qua ứng dụng trên smartphone
Kích thước: Nút nhấn camera (Bao gồm chân đế): Dài(158mm) x Rộng(81mm) x Sâu(62mm)
• Chuông báo: Dài(126mm) x Rộng(78mm) x Sâu(38mm)","publish","0","visible","instock","http://xsmart.local/wp-content/uploads/2019/03/IC102W.png"
"IC 100W-3S","Chuông cửa chính MH: IC 100W-3S","chuong-cua-chinh-ic100w-3s","-Ưu điểm: Màn hình 7 inch siêu mỏng, bàn phím cảm ứng. Camera hồng ngoại nhìn ban đêm, chống chói chống vô nước. Có 16 kiểu chuông để lựa chọn, có nút chỉnh âm lượng, màu sắc
-Chức năng: Tự động ghi lại hình ảnh khi khách hàng bấm chuông. Nói chuyện và xem hình khách ngoài cửa trước khi quyết định nhấn nút mở cửa tự động từ trong nhà bằng một nút nhấn
-Nguồn: Điện áp: 12VDC
-Màu sắc: Trắng
-Cấu tạo: Bề mặt camera được thiết kế theo công nghệ Nano chống chói ánh nắng mặt trời làm cho hình ảnh rõ nét
-Kích thước: Kích thước màn hình: 152mm(Cao) x 220mm(Ngang)
-Thiết kế và công nghệ: AUSTRALIA
-Thiết lập hệ thống: - Khi nhấn chuông từ bên ngoài thì ở chuông vẫn có âm báo như ở màn hình trong nhà - Trên màn hình có 2 sự lựa chọn để mở khóa: + LOCK1: Kích nguồn ra 12VDC + LOCK2: Kích đóng tiếp điểm(phù hợp cho cổng tự động, khóa điện khác dùng tiếp điểm điều khiển)
-Bảo hành: 12 Tháng","-Ưu điểm: Màn hình 7 inch siêu mỏng, bàn phím cảm ứng. Camera hồng ngoại nhìn ban đêm, chống chói chống vô nước. Có 16 kiểu chuông để lựa chọn, có nút chỉnh âm lượng, màu sắc
-Chức năng: Tự động ghi lại hình ảnh khi khách hàng bấm chuông. Nói chuyện và xem hình khách ngoài cửa trước khi quyết định nhấn nút mở cửa tự động từ trong nhà bằng một nút nhấn
-Nguồn: Điện áp: 12VDC
-Màu sắc: Trắng
-Cấu tạo: Bề mặt camera được thiết kế theo công nghệ Nano chống chói ánh nắng mặt trời làm cho hình ảnh rõ nét
-Kích thước: Kích thước màn hình: 152mm(Cao) x 220mm(Ngang)
-Thiết kế và công nghệ: AUSTRALIA
-Thiết lập hệ thống: - Khi nhấn chuông từ bên ngoài thì ở chuông vẫn có âm báo như ở màn hình trong nhà - Trên màn hình có 2 sự lựa chọn để mở khóa: + LOCK1: Kích nguồn ra 12VDC + LOCK2: Kích đóng tiếp điểm(phù hợp cho cổng tự động, khóa điện khác dùng tiếp điểm điều khiển)
-Bảo hành: 12 Tháng","publish","0","visible","instock","http://xsmart.local/wp-content/uploads/2019/03/IC-100-W.png"
"EL02W","KHÓA ĐIỆN MH: EL02W","khoa-dien-el02w","-Chức năng: Chức năng mở cửa độc lập : Sử dụng 2000 thẻ RFID, 1 mã số, 7 remote (20m), bàn phím điều khiển và chìa cơ. (Phù hợp với cổng sắt)
-Nguồn: Sử dụng điện áp 12 VDC.
-Màu sắc: Xám.
-Cách mở khóa: Kết hợp với chuông cửa màn hình, kiểm soát ra vào cửa.
-Cấu tạo: Làm bằng hợp kim dày 2mm, tăng mức độ an ninh cho người sử dụng. Có miếng bảo vệ giúp hạn chế mức độ ảnh hưởng khi va chạm.
-Kích thước: 130mm (dài) x 110mm (rộng) x 45mm (dày).
-Thiết kế và công nghệ: AUSTRALIA.
-Bảo hành: 1 năm.","-Chức năng: Chức năng mở cửa độc lập : Sử dụng 2000 thẻ RFID, 1 mã số, 7 remote (20m), bàn phím điều khiển và chìa cơ. (Phù hợp với cổng sắt)
-Nguồn: Sử dụng điện áp 12 VDC.
-Màu sắc: Xám.
-Cách mở khóa: Kết hợp với chuông cửa màn hình, kiểm soát ra vào cửa.
-Cấu tạo: Làm bằng hợp kim dày 2mm, tăng mức độ an ninh cho người sử dụng. Có miếng bảo vệ giúp hạn chế mức độ ảnh hưởng khi va chạm.
-Kích thước: 130mm (dài) x 110mm (rộng) x 45mm (dày).
-Thiết kế và công nghệ: AUSTRALIA.
-Bảo hành: 1 năm.","publish","0","visible","instock","http://xsmart.local/wp-content/uploads/2019/03/EL02W.png"
